VDA Data Log,,,,,,,,,,,,,
Aug-12, 2018 12:26:53 PM,,,,,,,,,,,,
Time (s),Engine Coolant Temperature (?C),Catalyst Temperature Bank 1 - Sensor 1 (?C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (?C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (?C),Absolute Throttle Position (%)
0,,,,,,,,,,,,,
3.1,84,524.4,69,101,49,73.2,24,83,2083,22.4,12.879,27,26.3
6.2,85,536.6,69,101,52,73,24,83.8,2146,23.8,13.013,27,27.8
9.3,86,548.7,69,101,55,73.4,24,83.6,2263,24.7,12.966,27,29.1
12.4,87,557.4,69,101,57,74.3,24,84.8,2338,25.3,12.96,27,30.2
15.5,87,571.8,69,101,59,74.2,24,82.7,2362,24,12.962,27,30.2
18.6,87,579.6,69,100,60,73.7,24,80.4,2132,14.5,13.026,27,18.5
21.7,87,582.3,69,100,63,72,24,81.7,2039,22.3,12.96,27,27.3
24.8,87,585.7,69,101,65,69.8,24,79.2,2112,19.3,12.955,27,23.6
27.9,87,590.7,69,100,65,70,24,77.7,2136,19.2,12.96,27,23.8
31,87,594.6,69,101,66,69,24,77.3,2141,19.2,12.96,27,24.2
34.1,87,598.7,69,100,66,67.6,24,76.6,2099,18.7,12.96,27,22.7
37.2,87,600,69,100,66,65.1,24,71.4,2008,14.8,12.96,27,19.5
40.3,87,600,69,100,65,28.7,24,36.9,1956,10.2,12.96,27,16.3
43.4,87,592,69.4,101,62,21.8,24,25.9,1859,4.6,12.96,27,9.7
46.5,87,592,69.4,100,61,62.1,24,71.8,1929,14.6,13.031,27,19.6
49.6,87,595,69.4,100,61,55.2,24,42.3,1892,15.5,12.911,27,21.2
52.7,87,594,69.4,100,61,63.9,24,72.5,1897,16.6,12.944,27,21.8
55.8,87,596,69.4,100,62,69.7,24,78.3,2018,19.5,12.973,27,23.5
58.9,87,600,69.4,100,63,66.5,24,76.1,1980,17.9,12.999,27,20.7
62,87,602.1,69.4,100,63,72.7,24,84,2096,23.8,12.89,27,28.1
65.1,87,608,69.4,101,64,75.1,24,84.7,2453,26.1,12.96,27,31.5
68.2,87,614.2,69,101,66,74.5,24,83.8,2575,26.7,13.037,27,32.2
71.3,87,616,69,101,68,73.9,24,82.8,2606,26.7,13.007,27,32.2
74.4,87,623.5,69,101,69,73.1,24,82.4,2632,26.9,12.96,27,32.5
77.5,87,627.9,69,101,70,73.4,24,82.7,2608,26.6,12.96,27,31.7
80.6,87,631.8,69,101,72,73.2,24,83.3,2557,25.4,12.978,27,30.6
83.7,87,632.4,69,101,72,73.6,24,83.2,2550,25.1,13,27,30.2
86.8,87,636,69,101,73,72.4,24,82.3,2590,25.1,12.96,27,30.5
89.9,87,639.7,69,101,74,72.9,24,82,2618,25.1,12.96,27,30.3
93,87,640,69,101,76,71.4,24,81.3,2634,25.3,12.96,27,30.4
96.1,87,641.7,69,101,76,72.2,24,82,2550,24.5,12.96,27,29.5
99.2,87,644,69,101,77,71.4,24,81.5,2476,23.3,13.03,27,26
102.3,87,643.2,69,101,78,70.6,24,38.1,2366,8.4,12.96,27,20.1
