VDA Data Log,,,,,,,,,
Jul-17, 2018 8:15:00 AM,,,,,,,,
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0,,,,,,,,,
1.3,,0,28.2,18,20,30,4,800,49.4
2.6,102,0,28.2,18,20,30,4,800,49.4
3.9,102,0,28.9,18,20,30,4,811,49.4
5.2,102,0,29.9,18,20,31,4,801,49.4
6.5,102,0,28.2,18,20,31,4,811,49.7
7.8,102,1,27.9,18,20,31,4,802,49.8
9.1,102,1,27.7,18,20,31,4,789,49.5
10.4,102,0,28.2,18,20,31,4,808,49.7
11.7,102,0,28.9,18,20,31,4,843,49.8
13,102,0,33.5,18,20,32,4,980,49.5
14.3,102,2,42.3,18,20,32,4,1389,49.4
15.6,102,6,49.8,18,20,32,4,1487,49.2
16.9,102,9,47.1,18,20,33,4,1428,49
18.2,102,12,51.2,18,20,33,4,1358,48.9
19.5,102,12,52.9,18,20,33,4,1304,48.5
20.8,102,15,37.1,18,20,34,4,1332,48.2
22.1,102,16,27.6,18,20,34,4,1391,48.2
23.4,102,16,31.7,18,20,34,4,887,48.2
24.7,102,16,31.4,18,19,35,4,1294,48.2
26,102,16,26.3,18,19,35,4,1228,48.2
27.3,102,16,27,18,19,35,4,1212,48.2
28.6,102,16,27.5,18,19,36,4,1220,48.2
29.9,102,15,27.5,18,19,36,4,1225,48.2
31.2,102,13,28,18,19,37,4,1209,48.2
32.5,102,9,31.3,18,19,37,4,1100,48.4
33.8,102,4,39.9,18,19,37,4,939,48.7
35.1,102,2,37.6,18,19,38,4,1032,49
36.4,102,5,47.9,18,19,38,4,1525,49
37.7,102,9,57.3,18,19,38,4,1902,48.9
39,102,12,64.6,18,19,38,4,1979,48.6
40.3,102,16,70.9,18,19,39,4,1598,48.3
41.6,102,20,73.7,18,19,39,4.4,1624,48.2
42.9,101,22,71.9,18,19,40,16.2,1658,47.9
44.2,101,24,71.7,18,19,40,28.6,1614,47.8
45.5,101,26,70.3,18,19,41,45.1,1601,47.8
46.8,101,27,65.5,18,19,41,56.8,1564,47.6
48.1,101,28,57.6,18,19,42,79.9,1464,47.5
49.4,101,29,46.3,18,19,42,87.6,1270,47.5
50.7,101,30,41.5,18,19,42,97.9,1207,47.5
52,101,30,38.7,18,19,43,103.2,1236,47.5
53.3,101,30,23.1,18,19,43,107,1375,47.5
54.6,102,30,20.4,18,19,43,113.4,1356,47.6
55.9,102,27,20.4,18,19,44,118.6,1319,48
57.2,102,24,20.4,18,19,44,120,1314,48.2
58.5,102,21,20.4,18,19,44,121.9,1268,48.4
59.8,102,19,21.1,18,19,45,126.1,1223,49
61.1,102,16,21.2,18,19,45,128,1200,49.1
62.4,102,14,21.9,18,19,45,129.5,1189,49.4
63.7,102,11,22.5,18,19,45,132,1149,49.5
65,102,8,23.8,18,19,45,132,1088,49.8
66.3,102,5,26.6,18,19,46,132,970,49.8
67.6,102,3,29.7,18,19,46,133.2,897,49.8
68.9,102,3,41.8,18,19,46,137.2,1112,49.7
70.2,101,6,47.2,18,19,46,140.5,1901,49.4
71.5,101,10,48.3,18,19,47,145.5,1916,49.4
72.8,101,13,54.8,18,19,47,156.9,1492,49
74.1,101,15,62,18,19,47,164.1,1325,48.6
75.4,101,17,65.9,18,19,47,167.9,1414,48.6
76.7,101,19,68,18,19,48,181.2,1487,48.6
78,101,21,67.5,18,19,48,194.4,1472,48.4
79.3,101,24,69.5,18,19,48,204.5,1426,48.2
