VDA Data Log,,,,,,,,,,,,
Jul-26, 2018 9:22:12 AM,,,,,,,,,,,
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0,,,,,,,,,,,,
2.7,38,52,100,101,0,27.5,20,800,0.8,14.425,20,4.3
5.4,38,52,100,101,0,26.7,20,810,0.8,14.32,20,4.7
8.1,39,57.1,100,101,2,34.4,20,1217,3.1,14.475,21,7.9
10.8,39,69.3,100,101,6,42.8,20,1266,3.1,14.426,21,9.3
13.5,40,81.4,100,101,12,53.1,20,1287,3.7,14.516,20,10.3
16.2,41,98.2,100,101,15,29.8,20,1401,1.3,14.45,20,8.3
18.9,42,106.3,100,101,14,27.3,20,1212,0,13.797,20,5.7
21.6,42,111.2,100,101,13,26.7,20,1202,0.1,13.599,20,5.9
24.3,42,120.4,100,101,12,26.1,20,1187,0.4,13.324,20,5.7
27,43,127,100,101,13,34.8,20,1463,0.4,13.16,20,6.7
29.7,43,134.6,100,101,13,26.3,20,1297,0.4,13.039,20,5.7
32.4,43,139.8,100,101,11,22.2,20,1217,0.4,12.947,20,5
35.1,44,141.2,100,101,3,25.7,20,964,0.4,12.992,20,7.3
37.8,45,152.3,100,101,8,55.3,20,1899,9.2,12.96,20,16.3
40.5,45,174.3,100,101,17,70.9,20,1640,13.8,12.878,20,18.4
43.2,46,196.7,100,101,22,70,20,1614,14.1,13.006,20,19.5
45.9,47,218.5,100,101,24,64.4,20,1430,10.1,12.961,20,14.9
48.6,47,235.8,100,101,27,39.7,20,1328,4.9,12.96,20,10.1
51.3,48,237.7,100,101,26,26,20,1375,0.4,12.96,20,6.1
54,49,243.1,100,101,27,31.9,20,1291,0.7,13.025,20,7.1
56.7,50,248.4,100,101,26,22.5,20,1380,0.2,12.96,20,5.9
59.4,50,252,100,101,23,25,20,1279,0,12.96,20,5.6
62.1,50,255.8,100,101,17,26.7,20,1195,0.3,13.014,20,5.9
64.8,51,256,100,101,10,26.7,20,1161,0.3,12.96,20,5.5
67.5,51,256,100,101,5,28.2,20,948,0.4,12.96,20,4.8
70.2,52,252,100,101,0,28.2,20,821,0.4,12.96,20,4.6
72.9,52,250.3,100,101,0,27.5,20,802,0.4,12.888,20,4.3
75.6,52,246.4,100,101,0,33.5,20,850,0.4,12.94,20,4.9
78.3,53,244,100,101,0,35.9,20,850,0.4,12.903,20,5.3
81,53,241.8,100,101,0,32.5,20,823,0,12.959,20,5.1
83.7,53,237.2,100,101,0,29.2,20,808,0.4,12.88,20,5.1
86.4,53,235.6,100,101,0,23.6,20,759,0.4,12.915,21,3.5
89.1,54,232,100,101,0,22.7,20,703,0.4,13.021,21,3.5
91.8,54,228.9,100,101,0,28.3,20,867,1.2,12.898,21,3.5
94.5,54,233,100,101,5,41.7,20,1594,4.4,12.921,21,10.3
97.2,54,242.8,100,101,12,53.8,20,1403,5.8,12.942,21,12.4
99.9,55,252.8,100,101,16,61.8,20,1369,9.8,13.112,21,13.9
102.6,55,267.4,100,101,20,63.3,20,1453,9.9,12.991,21,14.4
105.3,56,284.5,100,101,24,67.4,20,1404,11.6,13.055,21,15.5
108,57,299.9,100,101,26,62.7,20,1482,10.5,12.959,21,14.6
110.7,57,314.6,100,100,28,58.4,20,1361,8.6,12.902,21,12.7
